"group","tercile","n_tracts","workers","mean_dist_km","pct_gt24km","eff_n_dest","wexp_whiteblack","dest_earn_entropy","dest_edu_entropy","dest_ind_entropy"
"age_30_54","all",656,649010,16.45,21.425,83.174,0.023,0.666,0.95,0.645
"age_55p","all",654,248722,16.477,21.697,68.915,0.025,0.686,0.952,0.642
"age_u30","all",656,271193,15.581,19.481,79.584,0.023,0.711,0.955,0.653
"all","all",657,1168957,16.254,21.032,93.799,0.023,0.681,0.951,0.647
"earn_high","all",656,830028,16.693,21.957,81.441,0.022,0.648,0.948,0.648
"earn_low","all",654,120167,15.188,19.195,57.206,0.027,0.775,0.958,0.649
"earn_mid","all",656,218737,15.173,18.529,72.085,0.026,0.754,0.959,0.641
"ind_goods","all",655,137655,17.61,24.517,40.61,0.029,0.652,0.963,0.69
"ind_services","all",656,808589,15.547,19.139,76.184,0.022,0.668,0.945,0.637
"ind_tradetrans","all",656,222692,17.985,25.749,56.171,0.027,0.746,0.966,0.656
"age_30_54","1",218,189793,13.995,15.283,77.166,0.021,0.665,0.952,0.645
"age_30_54","2",219,232464,15.825,19.289,87.729,0.022,0.669,0.95,0.646
"age_30_54","3",219,226753,19.144,28.754,83.532,0.025,0.664,0.947,0.645
"age_55p","1",216,61721,14.218,15.747,63.777,0.022,0.687,0.955,0.641
"age_55p","2",219,90949,15.487,18.87,72.94,0.024,0.69,0.952,0.641
"age_55p","3",219,96052,18.867,28.196,68.405,0.028,0.681,0.949,0.645
"age_u30","1",218,96531,13.442,14.277,71.636,0.021,0.691,0.955,0.651
"age_u30","2",219,95161,15.43,18.626,86.044,0.023,0.719,0.956,0.651
"age_u30","3",219,79501,18.36,26.821,81.501,0.027,0.727,0.955,0.658
"all","1",219,348077,13.882,15.088,86.171,0.021,0.676,0.954,0.646
"all","2",219,418574,15.662,19.048,99.558,0.023,0.685,0.952,0.646
"all","3",219,402306,18.923,28.239,94.406,0.026,0.68,0.949,0.647
"earn_high","1",218,244877,14.006,15.292,72.443,0.02,0.644,0.95,0.647
"earn_high","2",219,294468,16.105,19.823,86.273,0.022,0.651,0.949,0.648
"earn_high","3",219,290683,19.553,29.735,84.126,0.024,0.647,0.946,0.648
"earn_low","1",216,34450,13.76,15.106,58.007,0.023,0.764,0.961,0.647
"earn_low","2",219,43652,14.575,17.628,60.528,0.025,0.777,0.958,0.647
"earn_low","3",219,42065,16.994,24.17,53.102,0.031,0.781,0.955,0.653
"earn_mid","1",218,68725,13.499,14.35,70.597,0.023,0.746,0.962,0.641
"earn_mid","2",219,80454,14.628,16.981,76.532,0.025,0.757,0.959,0.639
"earn_mid","3",219,69558,17.459,24.447,68.413,0.03,0.758,0.956,0.642
"ind_goods","1",217,38044,15.759,19.441,39.108,0.026,0.662,0.967,0.702
"ind_goods","2",219,50153,16.594,21.951,42.363,0.027,0.655,0.964,0.693
"ind_goods","3",219,49458,20.063,31.024,39.989,0.031,0.641,0.96,0.679
"ind_services","1",218,240949,13.153,13.241,73.215,0.019,0.659,0.947,0.638
"ind_services","2",219,287792,15.019,17.158,80.278,0.021,0.672,0.946,0.635
"ind_services","3",219,279848,18.151,26.256,74.531,0.024,0.671,0.943,0.637
"ind_tradetrans","1",218,69063,15.39,19.133,46.284,0.026,0.745,0.968,0.644
"ind_tradetrans","2",219,80629,17.377,23.988,60.545,0.027,0.748,0.966,0.658
"ind_tradetrans","3",219,73000,21.11,33.953,60.692,0.029,0.744,0.965,0.665
"edu_less_hs_shared_dest","all",657,136023,16.118,20.449,96.379,0.024,0.686,0.953,0.646
"edu_ba_plus_shared_dest","all",657,340680,16.641,22.35,92.067,0.024,0.678,0.95,0.647
